ID: 289 | Category: Terraform (IaC) | Question: You want to use custom images for VM deployment in Azure. How would you reference them in Terraform?
ID: 330 | Category: DevOps General | Question: Have u work with AFD and APM?
ID: 333 | Category: Company Wise QA | Question: Terraform Taint?
ID: 345 | Category: Company Wise QA | Question: Have you written automation script?
ID: 408 | Category: Docker & Kubernetes | Question: What is Demonset, stateful set?
ID: 412 | Category: Docker & Kubernetes | Question: Sidecar Container?
ID: 427 | Category: Company Wise QA | Question: In linux which flavour you have worked?
ID: 431 | Category: Company Wise QA | Question: Scipting language you have worked on?
ID: 436 | Category: Company Wise QA | Question: Are you using build and release pipeline both?
ID: 440 | Category: Company Wise QA | Question: Command to check logs, running container?
ID: 444 | Category: Company Wise QA | Question: Suppose you have a single file with 1000 lines of code and you need to run only one resource (e.g., a VNet). How would you do that?
ID: 448 | Category: Company Wise QA | Question: How can you prevent the accidental deletion of a resource in Terraform?
ID: 449 | Category: Company Wise QA | Question: What is the process of provisioning infrastructure using Terraform?
ID: 451 | Category: Company Wise QA | Question: have you done security hardening in linux machine ?
ID: 452 | Category: Company Wise QA | Question: What is the basic structure of a Terraform configuration?
ID: 454 | Category: Company Wise QA | Question: Which operating systems have you worked on — Ubuntu or RHEL?
ID: 460 | Category: Company Wise QA | Question: How can you access secrets stored in Azure Key Vault to access a application or on resources?
ID: 461 | Category: Company Wise QA | Question: You have modules for 3 environments. If you rename npr.tfvars, will Terraform still execute it?
ID: 462 | Category: Company Wise QA | Question: How many IPs are available in the 192.168.1.0/32 ?
ID: 466 | Category: Company Wise QA | Question: Which Azure services have you worked with in your application?
ID: 476 | Category: Company Wise QA | Question: questions -
ID: 498 | Category: Company Wise QA | Question: what is metrics
ID: 501 | Category: Company Wise QA | Question: why we need Grafana
ID: 505 | Category: Company Wise QA | Question: what are terraform provider?
ID: 508 | Category: Company Wise QA | Question: have you worked on Grafana and Prometheus and how it works?
ID: 510 | Category: Company Wise QA | Question: can you tell me about any networking issues?
ID: 511 | Category: Company Wise QA | Question: have you worked on Linux or windows machine?
ID: 516 | Category: Company Wise QA | Question: you have a playbook and need to run a single task, how can you run ?
ID: 521 | Category: Company Wise QA | Question: prerequsite on setting of worker node and and master node?
ID: 523 | Category: Company Wise QA | Question: how will you check reliability of your infrastructure?
ID: 526 | Category: Company Wise QA | Question: if customer want to change the version of terraform how will you assess/estimate the changes?
ID: 533 | Category: Company Wise QA | Question: What is the use of CMD in Docker?
ID: 534 | Category: Company Wise QA | Question: What does the output block in Terraform do?
ID: 544 | Category: Company Wise QA | Question: have you used function app?
ID: 545 | Category: Company Wise QA | Question: what is role of azure function app?
ID: 546 | Category: Company Wise QA | Question: which resource we can use to distrubte the content static & dynamic?
ID: 548 | Category: Company Wise QA | Question: did you worked with aws? what all resources you have used in aws?
ID: 549 | Category: Company Wise QA | Question: have you worked on gcp? what all resources you have used in gcp?
ID: 550 | Category: Company Wise QA | Question: how many years of experience you have in terraform?
ID: 551 | Category: Company Wise QA | Question: did you used terraform taint?
ID: 553 | Category: Company Wise QA | Question: I have created a resources in azure and want to keep the state file in aws?
ID: 554 | Category: Company Wise QA | Question: have you encoured any errors in terraform?
ID: 555 | Category: Company Wise QA | Question: what happeens when we run terraform init?
ID: 557 | Category: Company Wise QA | Question: can you write a code for virtual machine in terraform?
